,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
340,NA,ISEB,331,-10,"£45,000",11.11%,"1,425 (0.95%)",213
341,NA,Serverless,331,227,"£62,500",4.16%,"1,425 (0.95%)",395
342,NA,Penetration Testing,332,60,"£60,000",4.34%,"1,415 (0.95%)",210
343,NA,Data Engineer,333,175,"£67,500",8.00%,"1,414 (0.95%)",345
344,NA,HTTP,334,-35,"£60,000",14.28%,"1,413 (0.95%)",318
345,NA,Use Case,335,-6,"£56,500",7.61%,"1,402 (0.94%)",209
346,NA,RabbitMQ,336,41,"£60,000",4.34%,"1,400 (0.94%)",282
347,NA,Oracle Database,337,-63,"£50,000",-,"1,390 (0.93%)",246
348,NA,Data Analyst,338,-4,"£40,000",-,"1,388 (0.93%)",202
349,NA,.NET Software Developer,338,-47,"£42,500",-,"1,388 (0.93%)",258
350,NA,Wealth Management,339,-56,"£62,500",13.63%,"1,380 (0.92%)",91
351,NA,Shell Script,340,-20,"£52,500",-,"1,376 (0.92%)",228
352,NA,Driving Licence,341,27,"£32,500",8.33%,"1,375 (0.92%)",897
353,NA,Hedge funds,342,61,"£72,500",3.57%,"1,367 (0.92%)",182
354,NA,VB.NET,343,-61,"£42,500",6.25%,"1,366 (0.91%)",413
355,NA,Graduate Developer,343,59,"£28,500",7.54%,"1,366 (0.91%)",202
356,NA,Physics,344,-5,"£50,000",5.26%,"1,362 (0.91%)",317
357,NA,Juniper,345,-7,"£52,500",10.52%,"1,361 (0.91%)",276
358,NA,Manual Testing,346,2,"£42,500",6.25%,"1,348 (0.90%)",240
359,NA,Apache Cassandra,347,5,"£65,000",-,"1,342 (0.90%)",213
360,NA,Change Control,348,23,"£47,500",-2.06%,"1,339 (0.90%)",209
361,NA,React Developer,349,97,"£55,000",-,"1,338 (0.90%)",360
362,NA,RDBMS,350,1,"£55,000",-,"1,333 (0.89%)",252
363,NA,Red Hat Enterprise Linux,351,7,"£55,000",4.76%,"1,327 (0.89%)",288
364,NA,Tomcat,352,-66,"£55,000",4.76%,"1,326 (0.89%)",237
365,NA,Systems Engineer,352,-30,"£49,250",3.68%,"1,326 (0.89%)",513
366,NA,Delivery Manager,353,55,"£62,500",4.16%,"1,322 (0.89%)",291
367,NA,Release Management,354,-30,"£55,000",4.76%,"1,318 (0.88%)",212
368,NA,Prototyping,355,7,"£55,000",4.76%,"1,308 (0.88%)",359
369,NA,Business Intelligence Developer,355,-36,"£45,000",-,"1,308 (0.88%)",281
370,NA,MPLS,356,41,"£52,500",5.00%,"1,305 (0.87%)",219
371,NA,ITIL Certification,357,23,"£50,000",11.11%,"1,302 (0.87%)",112
372,NA,Service Manager,358,-16,"£52,500",-,"1,300 (0.87%)",166
373,NA,Technical Architecture,359,72,"£67,500",3.84%,"1,296 (0.87%)",193
374,NA,Foreign Exchange (FX),359,53,"£70,000",-3.44%,"1,296 (0.87%)",120
375,NA,Derivative,360,140,"£70,000",-6.66%,"1,288 (0.86%)",106
376,NA,ServiceNow,361,128,"£55,000",10.00%,"1,287 (0.86%)",187
377,NA,Pair Programming,361,41,"£57,500",-4.16%,"1,287 (0.86%)",236
378,NA,Statistics,362,-46,"£56,000",4.67%,"1,279 (0.86%)",216
379,NA,CISM,363,-32,"£65,000",-,"1,277 (0.86%)",179
380,NA,DV Cleared,363,125,"£50,000",11.11%,"1,277 (0.86%)",221
381,NA,Acceptance Criteria,364,45,"£50,000",4.16%,"1,269 (0.85%)",202
382,NA,Linux Engineer,365,-39,"£55,000",4.76%,"1,256 (0.84%)",263
383,NA,Investment Management,366,57,"£67,500",12.50%,"1,246 (0.83%)",131
384,NA,ITIL V3,366,20,"£44,000",-2.22%,"1,246 (0.83%)",121
385,NA,Cloud Engineer,366,45,"£60,000",9.09%,"1,246 (0.83%)",280
386,NA,LAMP,367,-58,"£45,000",5.88%,"1,244 (0.83%)",258
387,NA,Service Desk Analyst,367,26,"£24,500",2.08%,"1,244 (0.83%)",96
388,NA,OOD,368,-56,"£50,000",-,"1,243 (0.83%)",245
389,NA,Data Migration,368,33,"£55,000",4.76%,"1,243 (0.83%)",297
390,NA,AWS Engineer,369,89,"£62,500",4.16%,"1,242 (0.83%)",284
391,NA,ISTQB,370,12,"£42,500",11.84%,"1,241 (0.83%)",221
392,NA,Octopus Deploy,371,74,"£60,000",-4.00%,"1,233 (0.83%)",165
393,NA,Security Analyst,372,42,"£45,500",-9.00%,"1,231 (0.82%)",161
394,NA,Creative Thinking,373,78,"£50,000",-,"1,213 (0.81%)",221
395,NA,SQL Server 2008,374,-51,"£47,500",5.55%,"1,199 (0.80%)",183
396,NA,Fixed Income,375,123,"£70,000",-3.44%,"1,198 (0.80%)",79
397,NA,PhD,376,-62,"£58,000",5.45%,"1,196 (0.80%)",264
398,NA,Regression Testing,377,2,"£42,500",-,"1,192 (0.80%)",219
399,NA,People Management,378,-38,"£60,000",0.84%,"1,189 (0.80%)",221
400,NA,ASP.NET MVC Developer,378,-98,"£44,000",-2.22%,"1,189 (0.80%)",183
401,NA,KnockoutJS,379,-116,"£50,000",17.64%,"1,187 (0.79%)",239
402,NA,PCI DSS,380,-27,"£55,000",-5.98%,"1,183 (0.79%)",187
403,NA,Product Manager,380,36,"£60,000",-,"1,183 (0.79%)",111
404,NA,Virtual Team,381,7,"£62,500",8.69%,"1,180 (0.79%)",176
405,NA,Splunk,382,93,"£60,000",-,"1,177 (0.79%)",176
406,NA,Security Engineer,383,57,"£57,500",9.52%,"1,176 (0.79%)",297
407,NA,Integration Testing,384,-43,"£50,000",-,"1,170 (0.78%)",256
408,NA,Scaled Agile Framework,384,251,"£62,500",-3.84%,"1,170 (0.78%)",91
409,NA,WebDriver,385,-44,"£50,000",-,"1,164 (0.78%)",190
410,NA,Stakeholder Engagement,386,-31,"£60,000",14.28%,"1,155 (0.77%)",165
411,NA,MS Visio,387,-2,"£50,000",11.11%,"1,154 (0.77%)",151
412,NA,Equities,387,61,"£70,000",-6.66%,"1,154 (0.77%)",74
413,NA,Sprint Planning,388,96,"£52,500",5.00%,"1,148 (0.77%)",149
414,NA,BGP,389,82,"£53,450",2.49%,"1,139 (0.76%)",183
415,NA,Applications Support Analyst,389,2,"£40,000",6.66%,"1,139 (0.76%)",98
416,NA,Technical Architect,390,20,"£75,000",-,"1,137 (0.76%)",221
417,NA,VLAN,391,34,"£42,500",6.25%,"1,133 (0.76%)",181
418,NA,Atlassian Bamboo,392,30,"£64,375",7.29%,"1,131 (0.76%)",210
419,NA,Wi-Fi,393,89,"£45,000",5.26%,"1,128 (0.76%)",216
420,NA,Mobile Development,394,-16,"£50,000",-,"1,124 (0.75%)",271
421,NA,Development Manager,395,-25,"£69,000",10.40%,"1,121 (0.75%)",150
422,NA,Back Office,396,-26,"£55,000",-,"1,116 (0.75%)",198
423,NA,Systems Administrator,397,-9,"£42,500",-,"1,115 (0.75%)",285
424,NA,Django,398,51,"£55,000",4.76%,"1,113 (0.75%)",222
425,NA,Cloud Architect,399,125,"£82,500",6.45%,"1,112 (0.74%)",170
426,NA,CentOS,400,7,"£52,500",5.00%,"1,107 (0.74%)",236
427,NA,Apple,401,-68,"£35,000",-,"1,100 (0.74%)",208
428,NA,Android Development,402,-54,"£55,000",10.00%,"1,097 (0.73%)",310
429,NA,webpack,403,50,"£52,500",-4.54%,"1,095 (0.73%)",285
430,NA,Business Continuity,404,49,"£50,000",-9.09%,"1,094 (0.73%)",162
431,NA,Cisco ASA,405,31,"£55,000",4.76%,"1,090 (0.73%)",194
432,NA,Java Software Engineer,406,-16,"£55,000",-,"1,087 (0.73%)",179
433,NA,QA Engineer,407,54,"£50,000",11.11%,"1,086 (0.73%)",132
434,NA,Service Design,408,87,"£59,125",7.50%,"1,081 (0.72%)",192
435,NA,Security Operations,409,58,"£57,500",-,"1,075 (0.72%)",149
436,NA,Load Balancing,410,53,"£55,000",10.00%,"1,073 (0.72%)",199
437,NA,Redis,411,16,"£57,500",-4.16%,"1,069 (0.72%)",230
438,NA,Functional Testing,412,25,"£50,000",11.11%,"1,068 (0.72%)",213
439,NA,SQL Server 2012,413,-52,"£50,000",11.11%,"1,066 (0.71%)",214
440,NA,iOS Development,414,-42,"£52,500",-,"1,060 (0.71%)",243
441,NA,Gradle,415,78,"£61,500",2.50%,"1,059 (0.71%)",126
442,NA,UX Designer,416,85,"£50,000",11.11%,"1,050 (0.70%)",273
443,NA,Project Planning,417,-55,"£55,000",10.00%,"1,046 (0.70%)",163
444,NA,Technical Leader,418,-20,"£65,000",4.00%,"1,038 (0.70%)",137
445,NA,Continuous Deployment,419,67,"£60,000",4.34%,"1,037 (0.69%)",227
446,NA,Performance Management,420,13,"£56,250",7.14%,"1,025 (0.69%)",121
447,NA,VBA,421,-26,"£45,500",4.59%,"1,023 (0.69%)",170
448,NA,Senior C# Developer,422,-73,"£55,000",7.84%,"1,022 (0.68%)",203
449,NA,Technical Support,423,19,"£31,500",1.41%,"1,019 (0.68%)",118
450,NA,Palo Alto,424,97,"£60,000",4.34%,"1,018 (0.68%)",145
451,NA,C++ Developer,424,30,"£60,000",14.28%,"1,018 (0.68%)",235
452,NA,Skype,425,-10,"£47,500",-,"1,017 (0.68%)",179
453,NA,Blockchain,426,-5,"£72,500",3.57%,"1,013 (0.68%)",154
454,NA,MCSA,427,-9,"£42,000",16.66%,"1,012 (0.68%)",161
455,NA,AWS CloudFormation,428,150,"£66,000",1.53%,"1,011 (0.68%)",248
456,NA,QlikView,429,-16,"£52,500",5.00%,"1,009 (0.68%)",150
457,NA,PMI Certification,430,49,"£60,000",-,"1,008 (0.68%)",76
458,NA,Security Manager,431,46,"£65,000",-3.70%,"1,007 (0.67%)",104
459,NA,Visual Studio Team System,432,252,"£60,000",9.09%,"1,005 (0.67%)",198
460,NA,Software Architecture,433,97,"£57,500",-,"1,004 (0.67%)",239
461,NA,WordPress,434,-34,"£35,000",-,"1,000 (0.67%)",341
462,NA,Amazon EC2,435,59,"£67,500",12.50%,999 (0.67%),273
463,NA,Microsoft Project,436,-7,"£55,000",10.00%,997 (0.67%),100
464,NA,Workshop Facilitation,437,-50,"£55,000",10.00%,995 (0.67%),96
465,NA,Data Architecture,438,18,"£75,000",7.14%,994 (0.67%),161
466,NA,OSPF,439,59,"£52,500",-,991 (0.66%),167
467,NA,Social Media,439,-74,"£42,500",6.25%,991 (0.66%),271
468,NA,IT Support Engineer,440,63,"£29,500",9.25%,988 (0.66%),119
469,NA,Scenario Testing,441,51,"£45,000",-4.76%,986 (0.66%),99
470,NA,Portfolio Management,442,171,"£65,000",4.00%,984 (0.66%),68
471,NA,Performance Testing,443,42,"£50,000",11.11%,982 (0.66%),158
472,NA,Data Integration,444,-14,"£60,000",4.34%,980 (0.66%),184
473,NA,Angular Developer,445,-101,"£50,000",-4.76%,976 (0.65%),227
474,NA,Data Engineering,446,286,"£65,000",-3.70%,974 (0.65%),139
475,NA,Content Management,447,-28,"£52,500",10.52%,972 (0.65%),200
476,NA,Customer Engagement,447,103,"£60,000",14.28%,972 (0.65%),133
477,NA,vSphere,447,-21,"£45,000",-,972 (0.65%),155
478,NA,Python Engineer,447,88,"£62,500",13.63%,972 (0.65%),191
479,NA,Financial Institution,447,-49,"£70,000",12.00%,972 (0.65%),165
480,NA,Data Scientist,448,2,"£63,000",5.00%,967 (0.65%),94
481,NA,Hybrid Cloud,449,259,"£72,500",3.57%,962 (0.64%),132
482,NA,Dynamics 365,450,-61,"£55,000",-8.33%,961 (0.64%),768
483,NA,ASP.NET MVC 5,451,-258,"£50,000",17.64%,956 (0.64%),225
484,NA,Senior Consultant,451,-32,"£65,000",-,956 (0.64%),150
485,NA,MVVM,452,-32,"£52,500",5.00%,954 (0.64%),165
486,NA,VB,453,-97,"£42,500",-,949 (0.64%),216
487,NA,gulp,454,-83,"£50,000",-,948 (0.63%),248
488,NA,Dell,455,0,"£43,500",8.75%,947 (0.63%),186
489,NA,Responsive Web Design,456,-115,"£47,500",5.55%,943 (0.63%),293
490,NA,Digital Transformation Programme,457,136,"£61,102",1.83%,940 (0.63%),155
491,NA,Automotive,458,-24,"£46,000",2.22%,937 (0.63%),628
492,NA,SQL DBA,459,-31,"£47,500",-5.00%,934 (0.63%),147
493,NA,Bitbucket,460,46,"£50,000",-4.76%,930 (0.62%),240
494,NA,NetApp,461,20,"£46,500",-2.10%,929 (0.62%),125
495,NA,Low Latency,461,-57,"£77,500",3.33%,929 (0.62%),198
496,NA,Amazon S3,462,125,"£65,000",-,928 (0.62%),251
497,NA,WinForms,463,-86,"£45,000",-,927 (0.62%),213
498,NA,Business Transformation,464,-7,"£60,000",-0.41%,921 (0.62%),88
499,NA,Symfony,465,-96,"£42,500",-,914 (0.61%),304
500,NA,Dependency Injection,466,-103,"£50,000",11.11%,911 (0.61%),203
501,NA,F5,467,-62,"£55,000",4.76%,909 (0.61%),168
502,NA,Technical Manager,467,-2,"£58,000",5.45%,909 (0.61%),110
503,NA,Skype for Business,468,-75,"£47,000",1.07%,906 (0.61%),144
504,NA,Technical Consultant,468,-16,"£55,000",10.00%,906 (0.61%),117
505,NA,Desktop Support,469,-37,"£30,250",2.54%,905 (0.61%),63
506,NA,Ubuntu,470,70,"£52,500",5.00%,904 (0.61%),198
507,NA,Requirements Analysis,471,40,"£50,000",-4.76%,899 (0.60%),121
508,NA,Photoshop,472,-89,"£40,000",14.28%,898 (0.60%),336
509,NA,Security Architecture,472,-6,"£70,000",3.70%,898 (0.60%),133
510,NA,VMware ESXi,473,-16,"£45,000",-,897 (0.60%),182
511,NA,Security Management,474,62,"£60,000",9.09%,888 (0.59%),124
512,NA,2nd Line Engineer,474,24,"£29,500",5.35%,888 (0.59%),84
513,NA,Data Architect,475,45,"£80,000",6.66%,884 (0.59%),136
514,NA,XenApp,476,-37,"£47,000",10.58%,883 (0.59%),135
515,NA,Technical Analyst,476,10,"£41,500",3.75%,883 (0.59%),151
516,NA,Angular 2,477,-90,"£52,500",-,882 (0.59%),208
517,NA,System Testing,478,19,"£45,000",-,880 (0.59%),144
518,NA,Java EE,479,-132,"£55,500",0.90%,879 (0.59%),142
519,NA,Matrix Organization,480,39,"£60,000",4.34%,878 (0.59%),112
520,NA,Publishing,481,-82,"£57,500",4.54%,877 (0.59%),223
521,NA,C# Software Engineer,482,35,"£52,500",14.13%,872 (0.58%),154
522,NA,BusinessObjects,483,-48,"£50,000",-,866 (0.58%),120
523,NA,3rd Line Engineer,483,-42,"£38,500",-,866 (0.58%),107
524,NA,SEO,484,-127,"£42,500",13.52%,865 (0.58%),289
525,NA,Automation Tester,484,-14,"£45,000",-5.26%,865 (0.58%),183
526,NA,Azure Active Directory,484,163,"£60,000",14.28%,865 (0.58%),124
527,NA,Apache Hive,485,55,"£75,000",7.14%,863 (0.58%),120
528,NA,SQL Analyst,485,-42,"£42,500",6.25%,863 (0.58%),103
529,NA,Clustering,486,-39,"£50,000",-,862 (0.58%),155
530,NA,Vulnerability Management,487,81,"£57,500",-8.00%,853 (0.57%),92
531,NA,NUnit,488,-170,"£50,000",-,851 (0.57%),160
532,NA,Strategic Thinking,489,49,"£60,000",-14.28%,850 (0.57%),116
533,NA,Agile Developer,490,-115,"£60,000",9.09%,847 (0.57%),104
534,NA,Virtual Machines,491,45,"£52,500",5.00%,846 (0.57%),187
535,NA,Applications Developer,492,-118,"£45,000",8.43%,843 (0.56%),205
536,NA,SAP Consultant,493,-181,"£60,000",4.34%,841 (0.56%),108
537,NA,SAS,494,-120,"£52,500",-,837 (0.56%),170
538,NA,Systems Analyst,495,-24,"£45,000",4.22%,834 (0.56%),139
539,NA,IT Project Manager,496,-52,"£52,500",5.00%,830 (0.56%),71
540,NA,Translating Business Requirements,497,-73,"£55,000",4.76%,825 (0.55%),131
541,NA,Test Management,498,18,"£50,000",5.26%,824 (0.55%),120
542,NA,Applications Engineer,499,59,"£47,500",18.75%,822 (0.55%),232
543,NA,Deep Learning,500,111,"£65,000",-,821 (0.55%),140
544,NA,Software Manager,500,105,"£60,000",-,821 (0.55%),110
545,NA,Amazon RDS,501,178,"£65,000",18.18%,819 (0.55%),217
546,NA,SoapUI,502,24,"£47,500",5.55%,817 (0.55%),122
547,NA,Non-Functional Testing,503,128,"£50,000",9.89%,814 (0.55%),135
548,NA,SolarWinds,504,73,"£50,000",5.26%,811 (0.54%),115
549,NA,Security Testing,505,211,"£59,750",19.50%,807 (0.54%),86
550,NA,API Development,505,46,"£55,000",-4.34%,807 (0.54%),184
551,NA,IT Support Analyst,506,9,"£27,500",10.00%,806 (0.54%),78
552,NA,API Testing,507,157,"£50,000",11.11%,805 (0.54%),107
553,NA,Amazon DynamoDB,508,183,"£65,000",4.00%,803 (0.54%),161
554,NA,1st Line Support,509,28,"£22,000",5.38%,800 (0.54%),76
555,NA,Senior Software Developer,509,-36,"£50,000",-4.76%,800 (0.54%),210
556,NA,AWS Lambda,510,276,"£65,000",8.33%,799 (0.54%),234
557,NA,Kalman Filter,511,26,"£52,500",10.52%,798 (0.53%),160
558,NA,Test Automation Engineer,511,117,"£47,500",5.55%,798 (0.53%),154
559,NA,Refactoring,512,72,"£60,000",12.67%,793 (0.53%),135
560,NA,Systems Engineering,512,11,"£55,000",4.76%,793 (0.53%),260
561,NA,LESS,513,-96,"£45,000",-,788 (0.53%),217
562,NA,AWS DevOps,514,35,"£70,000",12.00%,787 (0.53%),164
563,NA,JMeter,515,93,"£50,000",-,779 (0.52%),127
564,NA,NHS,515,76,"£45,000",2.27%,779 (0.52%),277
565,NA,React Native,516,93,"£60,000",4.34%,778 (0.52%),204
566,NA,Atlassian,517,84,"£52,500",-,776 (0.52%),138
567,NA,CISA,518,-58,"£65,000",4.00%,774 (0.52%),121
568,NA,Infrastructure Manager,518,-38,"£60,000",7.14%,774 (0.52%),116
569,NA,OWASP,519,143,"£60,000",9.09%,772 (0.52%),105
570,NA,Product Owner,520,89,"£55,000",4.76%,771 (0.52%),65
571,NA,Data Security,521,-30,"£57,606",0.18%,769 (0.51%),108
572,NA,Scrum Master,522,26,"£57,500",4.54%,768 (0.51%),73
573,NA,Linux Command Line,523,-23,"£52,500",15.38%,766 (0.51%),223
574,NA,Windows 8,524,-62,"£30,000",9.09%,763 (0.51%),102
575,NA,Cisco Nexus,525,57,"£57,500",4.54%,757 (0.51%),121
576,NA,Capacity Planning,526,-26,"£55,000",2.36%,756 (0.51%),122
577,NA,PMP,526,14,"£60,000",4.34%,756 (0.51%),73
578,NA,Firmware,527,95,"£45,000",-5.26%,755 (0.51%),280
579,NA,Replication,528,-19,"£45,000",-,754 (0.50%),157
580,NA,EMC,529,57,"£45,000",-10.89%,753 (0.50%),174
581,NA,Exchange Server 2010,529,-148,"£35,000",4.47%,753 (0.50%),119
582,NA,3rd Line Support,530,-20,"£36,500",-1.07%,751 (0.50%),58
583,NA,Apple Swift,531,14,"£60,000",9.09%,750 (0.50%),136
584,NA,Dynamics AX,531,-177,"£57,500",4.54%,750 (0.50%),762
585,NA,Azure SQL Database,532,168,"£60,000",1.69%,748 (0.50%),151
586,NA,Identity Access Management,532,74,"£65,000",-,748 (0.50%),84
587,NA,Eclipse,533,8,"£47,500",-5.00%,745 (0.50%),101
588,NA,SpecFlow,534,10,"£51,000",2.00%,743 (0.50%),105
589,NA,B2C,535,31,"£57,500",7.47%,739 (0.49%),111
590,NA,CCIE,535,53,"£62,500",4.16%,739 (0.49%),100
591,NA,Programme Manager,536,21,"£77,500",3.33%,738 (0.49%),62
592,NA,SDET,537,72,"£60,000",9.09%,737 (0.49%),104
593,NA,Objective-C,538,-42,"£57,500",15.00%,732 (0.49%),154
594,NA,Data Governance,539,-70,"£62,138",-4.40%,731 (0.49%),110
595,NA,Customer-Centricity,539,7,"£55,000",4.76%,731 (0.49%),165
596,NA,Elastic Stack,540,196,"£60,000",-8.39%,729 (0.49%),138
597,NA,Billing,541,-36,"£44,250",-11.50%,728 (0.49%),132
598,NA,SSL,542,-46,"£52,500",5.00%,727 (0.49%),129
599,NA,LINQ,542,-78,"£47,500",5.55%,727 (0.49%),153
600,NA,Embedded Engineer,543,-31,"£45,000",-10.00%,723 (0.48%),311
601,NA,Senior Project Manager,544,-21,"£65,000",4.00%,722 (0.48%),78
602,NA,Windows Engineer,545,-71,"£45,000",-,718 (0.48%),139
603,NA,Xamarin,546,19,"£44,000",3.52%,717 (0.48%),188
604,NA,Developer/Software Engineer,547,-46,"£52,500",5.00%,712 (0.48%),86
605,NA,Lead Architect,548,80,"£85,000",-,711 (0.48%),124
606,NA,C++ Software Engineer,549,-143,"£45,000",-5.26%,708 (0.47%),211
607,NA,Senior DevOps,550,83,"£75,000",11.11%,707 (0.47%),141
608,NA,Unified Communications,551,4,"£60,000",13.45%,703 (0.47%),88
609,NA,Network Design,552,9,"£60,000",6.66%,702 (0.47%),165
610,NA,Security Consultant,552,-30,"£62,500",4.16%,702 (0.47%),101
611,NA,Web Design,553,-81,"£42,500",4.93%,701 (0.47%),271
612,NA,SAP S/4HANA,554,49,"£65,000",-3.70%,694 (0.46%),83
613,NA,Gherkin,555,44,"£50,000",-,693 (0.46%),108
614,NA,Amazon Redshift,556,197,"£75,000",25.00%,688 (0.46%),127
615,NA,Robotics,557,80,"£55,000",4.76%,680 (0.46%),181
616,NA,Data Lake,558,76,"£65,000",4.00%,678 (0.45%),141
617,NA,Nagios,559,-33,"£52,500",5.00%,677 (0.45%),116
618,NA,Google Analytics,560,-24,"£42,250",12.66%,676 (0.45%),208
619,NA,Task Automation,561,-6,"£55,000",-4.34%,675 (0.45%),120
620,NA,API Design,562,96,"£60,000",-,672 (0.45%),110
621,NA,Commercial Awareness,563,-85,"£60,000",9.09%,671 (0.45%),166
622,NA,JBoss,563,-125,"£52,500",5.00%,671 (0.45%),146
623,NA,Magento,564,-28,"£45,000",20.00%,670 (0.45%),183
624,NA,Resource Management,565,25,"£57,000",3.63%,669 (0.45%),82
625,NA,Business Manager,565,-51,"£57,500",4.25%,669 (0.45%),127
626,NA,Kotlin,566,277,"£65,000",-,667 (0.45%),196
627,NA,Supplier Management,567,-37,"£54,500",-0.90%,664 (0.44%),87
628,NA,Windows Server 2003,567,-39,"£42,500",18.88%,664 (0.44%),66
629,NA,Analytical Thinking,568,13,"£49,000",-2.00%,662 (0.44%),137
630,NA,Innovative Thinking,568,46,"£52,500",7.14%,662 (0.44%),144
631,NA,Business Intelligence Analyst,568,5,"£42,500",-,662 (0.44%),126
632,NA,Veeam,569,62,"£40,500",8.00%,659 (0.44%),144
633,NA,Information Management,570,-11,"£55,000",10.00%,656 (0.44%),114
634,NA,ASP.NET Web Forms,571,-108,"£42,500",6.25%,652 (0.44%),181
635,NA,Security Architect,571,106,"£77,500",-,652 (0.44%),124
636,NA,Senior Architect,571,45,"£81,250",8.33%,652 (0.44%),102
637,NA,VMware Certified Professional (VCP),572,83,"£45,000",5.88%,649 (0.43%),100
638,NA,Natural Language Processing,572,4,"£70,000",7.69%,649 (0.43%),103
639,NA,WebSphere,573,-75,"£57,500",-4.16%,647 (0.43%),136
640,NA,HTML Developer,574,-214,"£42,500",-5.55%,644 (0.43%),116
641,NA,Grunt,575,-92,"£47,500",-5.00%,643 (0.43%),182
642,NA,Military,576,273,"£60,000",41.17%,642 (0.43%),206
643,NA,Backend Developer,577,19,"£52,500",-4.54%,640 (0.43%),136
644,NA,MCP,578,-47,"£32,500",-,636 (0.43%),103
645,NA,Defect Management,579,106,"£43,750",2.94%,635 (0.43%),125
646,NA,Symantec,580,116,"£50,000",15.60%,634 (0.42%),72
647,NA,Matrix Management,580,27,"£60,000",4.34%,634 (0.42%),70
648,NA,Domain-Driven Design,580,-85,"£60,000",9.09%,634 (0.42%),158
649,NA,MATLAB,581,-54,"£47,500",-5.00%,633 (0.42%),209
650,NA,Master's Degree,582,-71,"£60,000",-,632 (0.42%),148
651,NA,Ruby on Rails,582,-92,"£60,000",4.34%,632 (0.42%),140
652,NA,Systems Analysis,583,2,"£51,000",2.00%,630 (0.42%),90
653,NA,Financial Analyst,584,-50,"£50,000",5.26%,625 (0.42%),65
654,NA,Cloud Native,585,361,"£70,000",-3.44%,622 (0.42%),138
655,NA,AWS DevOps Engineer,585,39,"£70,000",16.66%,622 (0.42%),133
656,NA,Pharmaceutical,586,43,"£49,705",-0.59%,621 (0.42%),272
657,NA,HBase,587,40,"£75,000",7.14%,620 (0.42%),80
658,NA,Senior Business Analyst,587,-7,"£57,500",-4.16%,620 (0.42%),48
659,NA,User-Centered Design (UCD),588,98,"£50,000",-4.76%,618 (0.41%),125
660,NA,Sitecore,589,-56,"£52,500",-4.54%,616 (0.41%),93
661,NA,Meraki,590,231,"£45,000",-4.25%,612 (0.41%),98
662,NA,nginx,591,-58,"£50,000",-,608 (0.41%),154
663,NA,SQL Server 2014,592,-315,"£50,000",-,604 (0.40%),125
664,NA,Embedded Software Engineer,592,8,"£45,000",-10.00%,604 (0.40%),247
665,NA,Critical Thinking,593,146,"£53,895",2.65%,603 (0.40%),104
666,NA,ASP.NET Core,594,295,"£55,000",22.22%,602 (0.40%),138
667,NA,Patch Management,595,48,"£42,500",-5.55%,601 (0.40%),85
668,NA,Android Developer,596,-43,"£58,000",10.47%,598 (0.40%),161
669,NA,.NET Software Engineer,597,28,"£53,000",6.00%,597 (0.40%),78
670,NA,Azure Engineer,598,142,"£55,000",4.76%,594 (0.40%),162
671,NA,Programmer,599,-43,"£47,500",5.55%,593 (0.40%),282
672,NA,Senior C# .NET Developer,600,-85,"£53,000",6.00%,592 (0.40%),106
673,NA,Node.js Developer,601,18,"£60,000",4.34%,590 (0.40%),129
674,NA,CEH,602,79,"£60,000",9.09%,589 (0.39%),67
675,NA,Test Manager,602,73,"£55,000",-,589 (0.39%),66
676,NA,SCOM,602,-65,"£49,000",3.15%,589 (0.39%),82
677,NA,Due Diligence,603,109,"£52,500",-12.50%,588 (0.39%),81
678,NA,WorldPay,604,151,"£55,000",-,585 (0.39%),2
679,NA,Conversational UI,604,390,"£65,000",25.60%,585 (0.39%),45
680,NA,Azure Developer,605,286,"£55,000",-,584 (0.39%),98
681,NA,Numerate Degree,606,5,"£55,000",10.00%,583 (0.39%),103
682,NA,Azure Architect,606,215,"£84,750",5.93%,583 (0.39%),90
683,NA,Performance Monitoring,607,53,"£50,000",5.26%,582 (0.39%),77
684,NA,2nd Line Support Engineer,608,-32,"£30,000",9.09%,580 (0.39%),57
685,NA,Developer in Test,608,41,"£55,000",-,580 (0.39%),61
686,NA,Ethernet,609,1,"£45,000",-5.26%,577 (0.39%),190
687,NA,npm,610,-50,"£52,500",5.00%,574 (0.38%),180
688,NA,GAP Analysis,611,-85,"£55,000",-4.34%,572 (0.38%),83
689,NA,PMI,612,14,"£57,500",-4.16%,570 (0.38%),38
690,NA,Desktop Engineer,613,-41,"£31,000",-4.61%,565 (0.38%),38
691,NA,Data Privacy,614,193,"£55,000",-12.00%,563 (0.38%),123
692,NA,Proactive Monitoring,615,3,"£42,500",-9.09%,558 (0.37%),88
693,NA,Enterprise Architect,616,-56,"£85,000",-,557 (0.37%),56
694,NA,Spring MVC,617,-50,"£60,000",14.28%,555 (0.37%),75
695,NA,Network Monitoring,618,33,"£47,500",5.55%,553 (0.37%),92
696,NA,Java Software Developer,618,-75,"£55,000",6.79%,553 (0.37%),129
697,NA,BizTalk Server,619,-27,"£60,000",9.09%,551 (0.37%),49
698,NA,Senior Front-End Developer,619,48,"£62,500",13.63%,551 (0.37%),102
699,NA,Adobe Illustrator,620,-82,"£40,000",14.28%,549 (0.37%),206
700,NA,Drupal,621,-60,"£42,500",-5.55%,547 (0.37%),140
